kód_obce,název_obce,voliči_v_seznamu,vydané_obálky,platné_hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana
535427,Bakov nad Jizerou,9,1,17,285,3,3,204,1,179,153,27,32,36,2,1,252
535443,Bělá pod Bezdězem,5,1,17,215,2,0,214,1,107,153,28,33,33,4,4,218
535451,Benátky nad Jizerou,6,1,17,533,12,2,225,3,176,198,58,24,58,4,3,323
535478,Bezno,1,1,17,27,1,0,31,0,14,43,3,4,6,0,0,21
565750,Bílá Hlína,1,1,17,2,0,0,5,0,4,8,1,3,0,0,0,7
535486,Bítouchov,1,1,17,17,0,0,7,0,10,31,0,3,2,0,0,17
535508,Boreč,2,1,17,10,0,0,4,0,9,8,0,1,2,0,3,3
535516,Boseň,1,1,17,23,0,0,12,0,36,11,4,3,5,0,0,24
570788,Bradlec,1,1,17,135,4,0,17,1,33,38,8,5,8,0,0,104
571946,Branžež,1,1,17,15,0,0,6,0,27,5,2,3,0,0,0,16
535559,Brodce,1,1,17,46,1,1,26,0,44,43,6,1,9,2,0,38
535567,Březina,1,1,17,30,0,0,11,0,29,12,0,3,5,0,0,26
535583,Březno,1,1,17,60,2,0,36,0,40,23,4,4,14,1,2,57
599514,Březovice,1,1,17,19,0,0,18,0,16,10,1,1,0,1,0,10
535605,Bukovno,1,1,17,33,0,0,21,0,36,28,7,4,0,0,0,27
570991,Ctiměřice,1,1,17,12,1,0,3,0,3,3,1,0,0,0,0,10
535621,Čachovice,2,1,17,36,2,1,37,2,22,49,3,10,6,0,0,25
535630,Čistá,1,1,17,45,0,0,27,1,25,30,2,5,5,1,0,32
570818,Dalovice,1,1,17,18,1,1,9,0,10,4,1,5,1,0,0,9
535656,Dlouhá Lhota,1,1,17,37,0,0,12,0,17,19,5,0,4,0,0,19
535672,Dobrovice,9,1,17,189,6,0,156,3,77,111,35,23,13,1,3,172
571989,Dobšín,1,1,17,14,0,0,9,0,14,9,1,5,0,0,0,16
535702,Dolní Bousov,5,1,17,121,1,4,91,2,97,85,11,27,14,0,1,146
535711,Dolní Krupá,1,1,17,10,0,1,13,0,10,9,0,2,3,0,0,3
535729,Dolní Slivno,1,1,17,21,2,0,8,1,23,12,0,1,0,0,0,18
570940,Dolní Stakory,1,1,17,21,0,0,9,0,9,5,1,2,0,0,0,12
535745,Domousnice,1,1,17,10,1,0,12,0,11,17,5,1,5,0,0,14
571067,Doubravička,1,1,17,6,0,0,1,0,11,4,0,2,0,0,0,6
535818,Horky nad Jizerou,1,1,17,32,1,0,24,0,11,12,4,5,2,0,0,30
535834,Horní Bukovina,1,1,17,6,0,0,12,0,19,7,2,4,0,0,0,15
599531,Horní Slivno,1,1,17,11,0,0,9,0,20,2,1,0,3,0,0,9
535869,Hrdlořezy,1,1,17,55,0,0,27,0,22,32,8,4,6,0,0,19
565733,Hrušov,1,1,17,3,0,0,11,1,6,16,0,3,2,0,0,9
599522,Husí Lhota,1,1,17,10,0,0,5,0,10,5,1,1,0,0,1,9
565784,Charvatce,1,1,17,19,1,0,6,0,6,15,3,1,0,0,0,17
535923,Chocnějovice,2,1,17,22,0,0,16,0,21,23,0,3,1,1,0,27
535931,Chotětov,2,1,17,48,1,0,16,2,20,38,5,5,6,2,1,41
571849,Chudíř,1,1,17,10,0,0,13,0,7,3,2,1,2,0,1,9
535966,Jabkenice,1,1,17,22,0,0,15,0,13,19,3,0,2,1,1,23
535974,Jivina,1,1,17,26,0,0,34,0,23,24,5,6,3,0,0,22
